,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
45,2010-03-15,3231.22,3183.18,3234.82,3171.8,37844304,49219898122.0,1.95,-1.54,-49.95,0.12,2010-03-15,3257.5535,46.26869878335812,3350.090897566716,48.26875238116579,-0.03309407587185209
46,2010-03-16,3183.77,3203.97,3204.29,3169.1,30847780,41510426396.0,1.11,0.65,20.79,0.1,2010-03-16,3259.2925,43.33326070000505,3345.95902140001,45.190549685385236,-0.023676969347923515
47,2010-03-17,3214.22,3273.92,3274.0,3207.27,45800934,62587395428.0,2.08,2.18,69.95,0.15,2010-03-17,3262.282,42.09839871938968,3346.4787974387796,47.94678092231368,-0.015190619717123544
48,2010-03-18,3277.88,3267.55,3295.37,3256.59,46948013,62509130228.0,1.18,-0.19,-6.37,0.15,2010-03-18,3264.6395,40.933657554503284,3346.5068151090068,48.39311726147125,-0.0131944528333795
49,2010-03-19,3270.98,3293.87,3296.41,3251.14,46062187,62114230718.0,1.39,0.81,26.32,0.15,2010-03-19,3266.7690000000002,41.30819504522811,3349.3853900904564,46.38829120658263,-0.012356525180805322
50,2010-03-22,3297.82,3302.63,3313.92,3288.51,49439462,65652976792.0,0.77,0.27,8.76,0.16,2010-03-22,3270.2335,41.26259339184737,3352.7586867836944,48.97135074430723,0.016015652639383315
51,2010-03-23,3305.55,3275.57,3309.12,3272.92,46539536,62145531443.0,1.1,-0.82,-27.06,0.15,2010-03-23,3274.0805,37.66532643594359,3349.411152871887,42.944537974533496,0.00485005031045227
52,2010-03-24,3282.05,3276.67,3298.54,3271.03,44547966,58330301241.0,0.84,0.03,1.1,0.15,2010-03-24,3275.6899999999996,37.016046022742216,3349.722092045484,53.857294868763276,-0.0028939376418819496
53,2010-03-25,3270.39,3229.13,3270.39,3222.82,44984285,58604759567.0,1.45,-1.45,-47.54,0.15,2010-03-25,3272.54,38.204901586877995,3348.9498031737558,45.93410677781611,-0.023210299286721137
54,2010-03-26,3226.8,3275.0,3285.39,3220.59,47444965,61592843185.0,2.01,1.42,45.87,0.16,2010-03-26,3272.2065000000002,38.15008164094018,3348.5066632818807,48.588811471271356,-0.001430013202467273
