,date,RV,RV_weekly,RV_monthly,RV_2week
2626,2020-10-27,0.0037780228760446,0.006653447990769346,0.006135795689489031,0.006404574595357347
2627,2020-10-28,0.0041060366187943,0.006494706244525405,0.005882627427743445,0.0065034953575067375
2628,2020-10-29,0.0070412776519028,0.006697899931415825,0.006014186528790468,0.0066474793497336565
2629,2020-10-30,0.0079705172702105,0.006472551097070166,0.006028345174625627,0.006861860990664008
2630,2020-11-02,0.0061855380444542,0.005816278492281286,0.0060070994284680875,0.006272841762466427
2631,2020-11-03,0.0067437414570142,0.0064094222084752055,0.005989850199296767,0.006531435099622268
2632,2020-11-04,0.0085636598163355,0.007300946847983446,0.0060664185199241875,0.006897826546254418
2633,2020-11-05,0.0048699202131117,0.0068666753602252256,0.006019969122493487,0.006782287645820517
2634,2020-11-06,0.0063320916261999,0.006538990231423106,0.006127351538821837,0.006505770664246627
2635,2020-11-09,0.0060553339688475,0.006512949416301765,0.006126411307782973,0.0061646139542915175
2636,2020-11-10,0.0084551165267095,0.006855224430240825,0.006339508969157542,0.006632323319358008
2637,2020-11-11,0.0049283752999984,0.006128167526973405,0.0063154976888427005,0.006714557187478418
2638,2020-11-12,0.0042937904303251,0.006012941570416086,0.006345052039885324,0.006439808465320647
2639,2020-11-13,0.0055274328986954,0.005852009824915185,0.006454624944494187,0.006195500028169137
2640,2020-11-16,0.0040152681249321,0.005443996656132106,0.006382526326098662,0.005978473036216928
2641,2020-11-17,0.0049221023796308,0.004737393826716366,0.0063414082133133815,0.005796309128478587
2642,2020-11-18,0.0038450533507377,0.004520729436864226,0.0059672865326000964,0.005324448481918808
2643,2020-11-19,0.0047266039634253,0.004607292143484265,0.0059931408906896185,0.005310116856950167
2644,2020-11-20,0.0018699045279241,0.003875786469330006,0.005855420853321896,0.004863898147122588
2645,2020-11-23,0.0048859553964879,0.004049923923641166,0.0058036320432781315,0.0047469602898866274
2646,2020-11-24,0.0035044150474169,0.0037663864571983855,0.005549411752618046,0.004251890141957367
2647,2020-11-25,0.006236103745301,0.004244596536111046,0.005402557328840881,0.004382662986487627
2648,2020-11-26,0.0059684154013139,0.004492958823688766,0.005502120625444032,0.004550125483586508
2649,2020-11-27,0.0047892831032843,0.005076834538760806,0.005533177283829941,0.004476310504045397
2650,2020-11-30,0.0120013454813354,0.006499912555730306,0.005758634912440513,0.005274918239685728
2651,2020-12-01,0.0060565958280772,0.0070103487118623655,0.005671638483252636,0.0053883675845303675
2652,2020-12-02,0.0081760636283839,0.0073983406884789455,0.0057621169188858045,0.005821468612294987
2653,2020-12-03,0.0045109286373854,0.007106843335693246,0.005660625427084495,0.005799901079690997
2654,2020-12-04,0.0043148571678623,0.007011958148608846,0.005467498033972077,0.006044396343684817
2655,2020-12-07,0.0076298674014745,0.006137662532636666,0.005592950178897659,0.006318787544183477
2656,2020-12-08,0.0031460014021305,0.005555543647447325,0.005448127895985414,0.006282946179654837
2657,2020-12-09,0.0054232062478048,0.005004972171331506,0.0054193948177562,0.006201656429905217
2658,2020-12-10,0.0035584671777417,0.004814479879402765,0.0051968198473485725,0.005960661607547997
2659,2020-12-11,0.0110910065445473,0.006169709754739765,0.005476939449373523,0.0065908339516742975
2660,2020-12-14,0.0034879335394031,0.005341322982325486,0.0054403095906952505,0.005739492757481068
2661,2020-12-15,0.0027681248865883,0.005265747679217046,0.005314886499235836,0.005410645663332178
2662,2020-12-16,0.0038831678726357,0.004957740004183225,0.005308881942313273,0.004981356087757357
2663,2020-12-17,0.0053133115540906,0.005308708879453006,0.005326664177515991,0.005061594379427877
2664,2020-12-18,0.0047013222600051,0.004030772022544565,0.0053655854915735995,0.005100240888642157
2665,2020-12-21,0.0063162400781611,0.004596433330296165,0.005437841678607045,0.004968878156310817
2666,2020-12-22,0.0074783151285266,0.005538471378683825,0.005692769433179886,0.005402109528950427
2667,2020-12-23,0.0082370399381396,0.006409245791784606,0.005845091457800418,0.005683492897983907
2668,2020-12-24,0.0081922927269066,0.006985042026347805,0.006058176806868132,0.006146875452900397
2669,2020-12-25,0.0046551532984506,0.006975808234036905,0.005986315422920386,0.005503290128290727
2670,2020-12-28,0.004640566196121,0.006640673457628886,0.005925958640866163,0.005618553393962517
