,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
31,2023-12-14,3351.96,3387.38,3399.14,3350.76,-17.64,1.44,0.2707,0.003898433,0.004051201,0.003535915,3473.9905,75.10619958116828,3624.2028991623365,3323.7781008376633,18.647837956253454,-0.047338085331332436,48.379999999999654,29.539999999999964,18.83999999999969,48.379999999999654,40.66142857142865
32,2023-12-15,3341.55,3365.94,3388.5,3339.52,-10.41,1.46,0.3164,0.00702207,0.00477938,0.00376347,3462.6645,77.22211685337147,3617.108733706743,3308.220266293257,19.686888454011637,-0.04207194888068999,48.98000000000002,36.539999999999964,12.440000000000055,48.98000000000002,40.93500000000007
33,2023-12-18,3329.37,3329.19,3352.35,3314.91,-12.19,1.12,0.2929,0.003361089,0.004019622,0.003819258,3450.3170000000005,77.83331962057039,3605.983639241141,3294.6503607588597,17.00680272108832,-0.04771752188089928,37.440000000000055,10.799999999999727,26.640000000000327,37.440000000000055,42.18500000000007
34,2023-12-19,3334.04,3325.66,3345.78,3313.19,4.68,0.98,0.2711,0.004483224,0.004318131,0.003890356,3437.9655,75.55941889630535,3589.0843377926103,3286.8466622073893,20.45881046302317,-0.04273474825431833,32.590000000000146,16.41000000000031,16.179999999999836,32.590000000000146,41.87285714285723
35,2023-12-20,3297.5,3334.33,3338.54,3297.37,-36.54,1.24,0.299,0.00398554,0.004550071,0.003930105,3425.6195,77.40012637518569,3580.419752750371,3270.8192472496285,15.713003865267765,-0.04700387845578502,41.17000000000007,4.5,36.67000000000007,41.17000000000007,43.122142857142926
36,2023-12-21,3330.87,3285.6,3339.36,3283.99,33.37,1.68,0.3318,0.009173377,0.00560506,0.004208698,3414.0870000000004,73.15209908849245,3560.391198176985,3267.7828018230157,25.46722184564726,-0.018675646532675838,55.370000000000346,41.86000000000013,13.510000000000218,55.370000000000346,43.93214285714297
37,2023-12-22,3337.23,3329.47,3359.06,3315.9,6.36,1.3,0.3404,0.009100562,0.006020758,0.004535505,3404.0480000000002,68.90413650404743,3541.8562730080953,3266.239726991905,29.056333708209777,-0.018346276032474407,43.159999999999854,28.190000000000055,14.9699999999998,43.159999999999854,44.977857142857246
38,2023-12-25,3347.45,3330.33,3348.88,3330.33,10.22,0.56,0.2412,0.002103437,0.005769228,0.004486968,3395.8235,65.05771626025599,3525.938932520512,3265.708067479488,40.15645371577564,-0.01292432355924622,18.550000000000182,11.650000000000091,6.900000000000091,18.550000000000182,41.56500000000012
39,2023-12-26,3324.79,3345.4,3345.42,3315.94,-22.66,0.88,0.2418,0.002533914,0.005379366,0.004502796,3386.137,60.05803501175894,3506.253070023518,3266.0209299764824,35.33654788506017,-0.021965253304936705,29.480000000000018,2.0299999999997453,31.509999999999764,31.509999999999764,41.14928571428579
40,2023-12-27,3336.36,3326.93,3341.27,3309.67,11.57,0.95,0.3054,0.004127291,0.005407716,0.00454351,3378.5395000000003,55.92117172507426,3490.381843450149,3266.6971565498516,39.37059688782224,-0.024299229408238032,31.59999999999991,16.480000000000018,15.11999999999989,31.59999999999991,40.932142857142935
41,2023-12-28,3414.54,3335.56,3423.4,3331.21,78.18,2.76,0.4791,0.008191341,0.005211309,0.004757494,3374.4565000000002,49.489497266963916,3473.4354945339282,3275.477505466072,52.29640007309495,-0.0035776818022645873,92.19000000000005,87.03999999999996,5.150000000000091,92.19000000000005,45.66500000000006
42,2023-12-29,3431.11,3411.11,3432.54,3409.58,16.57,0.67,0.3719,0.003383749,0.004067946,0.004800518,3371.868,44.63592695057233,3461.1398539011448,3282.596146098855,51.79428782469535,0.018254392212725623,22.960000000000036,18.0,4.960000000000036,22.960000000000036,41.61071428571433
